,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
2641,4,1.0,1.0,1.0,100.0,91,1125,0
2642,2,1.0,1.0,1.0,200.0,91,1125,0
2643,4,1.0,1.0,2.0,250.0,91,1125,0
2644,2,1.0,1.0,1.0,300.0,91,1125,0
2645,2,1.0,1.0,1.0,100.0,1,1125,0
2646,2,1.0,1.0,1.0,100.0,1,1125,0
2647,2,1.0,1.0,2.0,100.0,1,1125,1
2648,2,1.0,1.0,1.0,100.0,1,1125,0
2649,2,1.0,1.0,1.0,100.0,1,1125,8
2650,2,1.0,1.0,1.0,100.0,1,1125,0
2651,2,1.0,1.0,1.0,100.0,1,1125,0
2652,2,0.0,1.0,2.0,89.0,1,90,0
2653,7,3.0,1.0,3.0,350.0,91,1125,38
2654,2,1.0,1.0,1.0,98.0,92,1125,0
2655,2,1.0,1.0,1.0,70.0,92,1125,0
2656,4,2.0,1.0,2.0,141.0,92,1125,0
2657,1,1.0,1.0,1.0,40.0,100,9999,1
2658,7,3.0,2.0,3.0,150.0,32,180,0
2659,6,0.0,1.0,3.0,145.0,91,1125,15
2660,1,1.0,1.0,1.0,50.0,91,1125,2
2661,3,1.0,1.0,1.0,325.0,2,1125,14
2662,2,1.0,1.0,1.0,130.0,1,30,59
2663,2,1.0,1.0,0.0,225.0,2,1125,59
2664,4,2.0,1.0,3.0,120.0,2,1125,41
2665,5,3.0,1.0,3.0,175.0,3,28,22
2666,2,1.0,1.0,1.0,50.0,91,240,35
2667,8,4.0,2.0,4.0,234.0,91,180,31
2668,1,1.0,2.5,1.0,80.0,1,14,56
2669,4,1.0,1.5,1.0,106.0,29,1125,15
2670,1,1.0,1.0,1.0,44.0,91,1125,0
2671,1,1.0,1.0,1.0,44.0,91,1125,1
2672,1,1.0,1.0,1.0,50.0,90,1125,0
2673,16,13.0,6.0,22.0,267.0,2,1125,1
2674,2,0.0,1.5,0.0,85.0,1,360,7
2675,6,2.0,1.5,3.0,209.0,2,1125,28
2676,5,2.0,1.0,3.0,95.0,32,180,0
2677,4,1.0,1.0,1.0,120.0,91,1125,1
2678,2,1.0,1.0,1.0,122.0,32,180,0
2679,1,1.0,1.5,1.0,45.0,28,1125,1
2680,2,1.0,1.0,1.0,100.0,2,60,6
2681,4,1.0,1.0,2.0,120.0,1,1125,54
2682,4,1.0,2.0,1.0,100.0,91,1125,24
2683,2,1.0,1.0,1.0,88.0,91,1125,7
2684,2,1.0,1.0,1.0,89.0,91,1125,9
2685,17,5.0,3.0,10.0,1040.0,91,1125,7
2686,4,2.0,1.0,2.0,40.0,28,125,16
2687,2,1.0,1.0,1.0,52.0,91,150,2
2688,2,1.0,1.0,1.0,73.0,91,120,14
2689,3,1.0,1.0,2.0,389.0,29,1125,0
2690,3,1.0,1.0,2.0,389.0,29,1125,0
2691,4,2.0,1.0,2.0,174.0,2,29,9
2692,2,0.0,1.0,1.0,160.0,91,1125,5
2693,2,0.0,1.0,1.0,135.0,91,1125,3
2694,6,2.0,1.0,2.0,120.0,91,1125,35
2695,2,1.0,2.0,2.0,60.0,2,1125,18
2696,1,1.0,1.0,1.0,56.0,1,30,37
2697,4,2.0,1.0,3.0,170.0,2,365,37
2698,2,1.0,1.0,1.0,86.0,92,1125,0
2699,5,2.0,1.0,2.0,175.0,91,1125,5
2700,8,3.0,1.0,3.0,158.0,91,1125,43
2701,2,1.0,1.0,1.0,74.0,60,120,0
2702,4,2.0,1.0,0.0,179.0,14,1125,12
2703,4,2.0,1.0,3.0,200.0,14,1125,9
2704,5,2.0,2.0,3.0,220.0,14,1125,7
2705,2,1.0,1.0,1.0,59.0,1,30,35
2706,2,1.0,1.0,1.0,59.0,1,15,37
2707,2,1.0,1.0,1.0,59.0,1,30,39
2708,8,3.0,1.0,4.0,250.0,1,32,24
2709,4,1.0,1.0,4.0,99.0,1,1125,46
2710,12,4.0,3.0,7.0,300.0,2,28,30
2711,2,0.0,1.0,1.0,108.0,92,1125,0
2712,1,1.0,1.0,1.0,100.0,2,180,10
2713,1,1.0,1.0,1.0,100.0,2,180,4
2714,2,1.0,1.0,1.0,140.0,2,180,23
2715,4,1.0,1.0,2.0,88.0,1,1125,63
2716,2,1.0,1.0,1.0,59.0,91,1125,21
2717,2,1.0,1.0,1.0,99.0,1,1125,50
2718,2,1.0,1.0,1.0,99.0,1,1125,38
2719,2,1.0,1.0,1.0,99.0,1,1125,44
2720,6,2.0,2.0,3.0,300.0,1,1125,41
2721,2,1.0,1.0,1.0,76.0,1,1125,70
2722,3,1.0,1.0,1.0,76.0,1,1125,59
2723,2,1.0,1.0,1.0,76.0,1,1125,41
2724,2,1.0,1.0,1.0,76.0,1,1125,35
2725,2,1.0,1.0,1.0,88.0,1,1125,72
2726,2,1.0,1.0,1.0,88.0,1,1125,37
2727,2,1.0,1.0,2.0,69.0,2,21,0
2728,1,1.0,2.0,1.0,60.0,91,1125,0
2729,6,2.0,1.0,3.0,245.0,1,25,32
2730,1,1.0,1.0,1.0,60.0,2,29,27
2731,4,2.0,1.0,2.0,110.0,60,90,1
2732,2,1.0,2.5,1.0,40.0,91,1125,16
2733,2,1.0,1.0,1.0,79.0,2,30,45
2734,11,5.0,2.5,6.0,408.0,2,1125,16
2735,2,1.0,2.0,1.0,10.0,91,1125,10
2736,2,1.0,2.0,1.0,99.0,91,1125,12
2737,2,1.0,2.0,1.0,99.0,91,1125,15
2738,4,2.0,2.0,3.0,450.0,91,1125,0
2739,4,2.0,2.0,3.0,450.0,91,364,7
2740,5,2.0,1.5,3.0,150.0,91,1125,26
2741,1,1.0,1.0,1.0,110.0,91,1125,1
2742,4,1.0,1.0,2.0,100.0,1,1125,0
2743,2,1.0,1.0,1.0,62.0,1,20,36
2744,2,1.0,1.0,1.0,78.0,92,1125,0
2745,7,3.0,1.0,5.0,303.0,91,1125,31
2746,2,1.0,1.0,1.0,55.0,28,125,9
2747,2,1.0,1.0,1.0,58.0,28,125,8
2748,2,1.0,1.0,1.0,100.0,91,1125,1
2749,6,2.0,2.0,6.0,500.0,91,1125,19
2750,6,3.0,1.0,3.0,245.0,91,1125,18
2751,6,3.0,1.0,3.0,245.0,91,1125,19
2752,2,1.0,1.5,2.0,40.0,4,365,21
2753,2,1.0,1.0,2.0,100.0,1,1125,0
2754,2,1.0,1.0,1.0,138.0,91,365,3
2755,6,2.0,2.0,3.0,180.0,2,1125,27
2756,5,1.0,2.0,5.0,250.0,1,1125,15
2757,7,1.0,2.0,5.0,300.0,1,1125,24
2758,1,1.0,2.0,1.0,140.0,91,1125,0
