,host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
1702,99%,,838.0,4,Entire home/apt,2.0,2.0,2.0,425.0,$110.00,$400.00,2,1125,16,42.344609999999996,-71.10246,Boston,02215,MA
1703,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,168.0,$54.00,$400.00,2,1125,5,42.3425,-71.10304000000001,Boston,02215,MA
1704,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,169.0,$54.00,$400.00,2,1125,20,42.34337,-71.10256,Boston,02215,MA
1705,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,207.0,$54.00,$400.00,2,1125,9,42.34258,-71.10144,Boston,02215,MA
1706,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,181.0,$54.00,$400.00,2,1125,2,42.34259,-71.10249,Boston,02215,MA
1707,99%,,838.0,4,Entire home/apt,2.0,2.0,2.0,341.0,$110.00,$400.00,2,1125,23,42.342940000000006,-71.10238000000001,Boston,02215,MA
1708,99%,,838.0,2,Entire home/apt,0.0,1.0,1.0,129.0,$54.00,$400.00,2,1125,8,42.3448,-71.10096999999999,Boston,02215,MA
1709,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,211.0,$54.00,$400.00,2,1125,12,42.344809999999995,-71.10266,Boston,02215,MA
1710,99%,,838.0,2,Entire home/apt,0.0,1.0,1.0,161.0,$54.00,$400.00,2,1125,9,42.34312,-71.10254,Boston,02215,MA
1711,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,190.0,$54.00,$400.00,2,1125,26,42.3448,-71.10216,Boston,02215,MA
1712,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,190.0,$54.00,$400.00,2,1125,17,42.34421,-71.10174,Boston,02215,MA
1713,99%,,838.0,2,Entire home/apt,0.0,1.0,1.0,149.0,$54.00,$400.00,2,1125,6,42.3446,-71.10101,Boston,02215,MA
1714,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,171.0,$54.00,$400.00,2,1125,10,42.344190000000005,-71.10136999999999,Boston,02215,MA
1715,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,196.0,$54.00,$400.00,2,1125,14,42.34277,-71.10223,Boston,02215,MA
1716,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,197.0,$54.00,$400.00,2,1125,5,42.34398,-71.1014,Boston,02215,MA
1717,99%,,838.0,2,Entire home/apt,0.0,1.0,1.0,141.0,$54.00,$400.00,2,1125,8,42.344359999999995,-71.10122,Boston,02215,MA
1718,,,1.0,4,Entire home/apt,0.0,1.0,2.0,87.0,$0.00,$0.00,91,1124,2,42.34551,-71.10404,Boston,02215,MA
1719,99%,,838.0,2,Entire home/apt,0.0,1.0,1.0,155.0,$54.00,$400.00,2,1125,17,42.344390000000004,-71.10273000000001,Boston,02215,MA
1720,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,209.0,$54.00,$400.00,2,1125,8,42.34256,-71.10251,Boston,02215,MA
1721,100%,,5.0,2,Private room,1.0,2.0,1.0,62.0,$0.00,$0.00,3,1124,65,42.32184,-71.06138,Boston,02125,MA
1722,100%,,5.0,1,Private room,1.0,2.0,1.0,58.0,$0.00,,3,1124,96,42.32362,-71.06109000000001,Boston,02125,MA
1723,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,171.0,$54.00,$400.00,2,1125,6,42.344120000000004,-71.10285,Boston,02215,MA
1724,100%,,5.0,2,Private room,1.0,1.0,1.0,42.0,$30.00,,91,1125,47,42.31462,-71.10047,Jamaica Plain,02130,MA
1725,100%,,1.0,3,Entire home/apt,1.0,1.0,1.0,125.0,$75.00,$0.00,2,10,86,42.32333,-71.07694000000001,Boston,02119,MA
1726,99%,,838.0,6,Entire home/apt,3.0,2.5,3.0,402.0,$130.00,$400.00,2,1125,35,42.344229999999996,-71.10161,Boston,02215,MA
1727,99%,,838.0,4,Entire home/apt,2.0,2.0,2.0,290.0,$110.00,$400.00,2,1125,50,42.34343,-71.10158,Boston,02215,MA
1728,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,182.0,$54.00,$400.00,2,1125,29,42.34388,-71.10144,Boston,02215,MA
1729,99%,,838.0,6,Entire home/apt,3.0,3.0,3.0,281.0,$130.00,$400.00,2,1125,26,42.34393,-71.10276,Boston,02215,MA
1730,99%,,838.0,6,Entire home/apt,3.0,3.0,3.0,387.0,$130.00,$400.00,2,1125,25,42.34281,-71.10095,Boston,02215,MA
1731,100%,,4.0,2,Private room,1.0,2.0,1.0,66.0,$0.00,$0.00,90,1124,11,42.32533,-71.09344,Boston,02119,MA
1732,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,182.0,$54.00,$400.00,2,1125,27,42.3431,-71.10084,Boston,02215,MA
1733,99%,,838.0,4,Entire home/apt,2.0,2.0,2.0,283.0,$110.00,$400.00,2,1125,8,42.34406,-71.10159,Boston,02215,MA
1734,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,171.0,$54.00,$400.00,2,1125,18,42.34251,-71.10152,Boston,02215,MA
1735,100%,,127.0,4,Entire home/apt,1.0,1.0,1.0,219.0,,,91,1125,1,42.35716,-71.05856999999999,Boston,02109,MA
1736,99%,,838.0,4,Entire home/apt,2.0,2.0,2.0,382.0,$110.00,$400.00,2,1125,29,42.344609999999996,-71.10217,Boston,02215,MA
1737,100%,,1.0,2,Entire home/apt,0.0,1.0,1.0,160.0,$75.00,$0.00,3,60,10,42.36481,-71.05575999999999,Boston,02113,MA
1738,,,2.0,1,Private room,0.0,1.0,1.0,50.0,,,91,1125,89,42.35962,-71.06173000000001,Boston,02114,MA
1739,99%,,838.0,2,Entire home/apt,0.0,1.0,1.0,123.0,$54.00,$400.00,2,1125,7,42.34248,-71.10169,Boston,02215,MA
1740,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,201.0,$54.00,$400.00,2,1125,6,42.34463,-71.10095,Boston,02215,MA
1741,99%,,838.0,2,Entire home/apt,0.0,1.0,1.0,125.0,$54.00,$400.00,2,1125,11,42.342690000000005,-71.10251,Boston,02215,MA
1742,99%,,838.0,2,Entire home/apt,0.0,1.0,1.0,144.0,$54.00,$400.00,2,1125,16,42.344609999999996,-71.1022,Boston,02215,MA
1743,99%,,838.0,2,Entire home/apt,0.0,1.0,1.0,134.0,$54.00,$400.00,2,1125,17,42.34414,-71.10125,Boston,02215,MA
1744,99%,,838.0,2,Entire home/apt,0.0,1.0,1.0,144.0,$54.00,$400.00,2,1125,10,42.34302,-71.10146999999999,Boston,02215,MA
1745,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,189.0,$54.00,$400.00,2,1125,6,42.34404,-71.10285999999999,Boston,02215,MA
1746,100%,,3.0,2,Private room,1.0,1.0,1.0,120.0,$80.00,$0.00,2,14,53,42.33285,-71.04565,Boston,02127,MA
1747,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,168.0,$54.00,$400.00,2,1125,39,42.34411,-71.10266999999999,Boston,02215,MA
1748,99%,,838.0,2,Entire home/apt,0.0,1.0,1.0,127.0,$54.00,$400.00,2,1125,11,42.343920000000004,-71.10096,Boston,02215,MA
1749,100%,,5.0,1,Private room,1.0,1.0,1.0,50.0,$0.00,$150.00,91,1125,4,42.35772,-71.15663,Boston,02135,MA
1750,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,169.0,$54.00,$400.00,2,1125,27,42.34316,-71.10153000000001,Boston,02215,MA
1751,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,172.0,$54.00,$400.00,2,1125,15,42.34486,-71.10223,Boston,02215,MA
1752,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,160.0,$54.00,$400.00,2,1125,21,42.34418,-71.10088,Boston,02215,MA
1753,100%,,2.0,4,Entire home/apt,0.0,1.0,1.0,195.0,$89.00,$100.00,1,35,100,42.329840000000004,-71.0978,Boston,02120,MA
1754,94%,,25.0,8,Entire home/apt,3.0,2.0,4.0,175.0,$175.00,$100.00,32,180,25,42.30881,-71.10687,Boston,02130,MA
1755,94%,,25.0,7,Entire home/apt,3.0,2.0,4.0,175.0,$175.00,$100.00,32,90,30,42.308679999999995,-71.11433000000001,Boston,02130,MA
1756,,,1.0,6,Entire home/apt,3.0,2.5,4.0,50.0,$100.00,$500.00,1,14,15,42.29574,-71.15612,Boston,02132,MA
1757,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,200.0,$118.00,$0.00,2,1125,119,42.36506,-71.05391,Boston,02113,MA
1758,100%,,2.0,4,Entire home/apt,1.0,1.0,1.0,195.0,$90.00,$100.00,2,7,121,42.3304,-71.09595999999999,Boston,02120,MA
1759,100%,,6.0,2,Private room,1.0,1.0,1.0,80.0,$20.00,$200.00,91,1125,116,42.30982,-71.0525,Boston,02125,MA
1760,100%,,6.0,2,Private room,1.0,1.0,1.0,80.0,$20.00,$200.00,91,1125,83,42.30997,-71.05389,Boston,02125,MA
1761,100%,,6.0,2,Private room,1.0,1.0,1.0,80.0,$20.00,$200.00,91,1125,79,42.30981,-71.05375,Boston,02125,MA
1762,,,1.0,6,Entire home/apt,3.0,3.0,3.0,500.0,$0.00,$250.00,91,1125,1,42.379129999999996,-71.06177,Boston,02129,MA
1763,100%,,6.0,4,Private room,1.0,2.0,2.0,29.0,$40.00,$150.00,2,1125,61,42.30288,-71.06488,Boston,02122,MA
1764,100%,,6.0,4,Private room,1.0,2.0,2.0,29.0,$40.00,$150.00,2,14,49,42.302929999999996,-71.06461999999999,Boston,02122,MA
1765,100%,,26.0,4,Entire home/apt,2.0,1.0,2.0,315.0,$165.00,$0.00,3,45,32,42.3433,-71.07518,Boston,02118,MA
1766,,,1.0,3,Entire home/apt,1.0,1.0,1.0,222.0,$100.00,$0.00,91,1125,5,42.353229999999996,-71.06353,Boston,02116,MA
1767,100%,,6.0,4,Private room,1.0,2.0,2.0,19.0,$40.00,$150.00,2,1125,64,42.30372,-71.06449,Boston,02122,MA
1768,100%,,2.0,6,Entire home/apt,3.0,2.0,3.0,295.0,$150.00,$0.00,91,1125,36,42.3504,-71.13292,Boston,02134,MA
1769,100%,,1.0,2,Private room,1.0,1.5,1.0,100.0,$25.00,$0.00,2,14,64,42.340720000000005,-71.05588,Boston,02127,MA
1770,100%,,1.0,2,Private room,1.0,1.0,1.0,63.0,$17.00,$100.00,91,1125,39,42.32631,-71.09552,Boston,02119,MA
1771,,,1.0,4,Entire home/apt,3.0,1.5,3.0,127.0,$125.00,"$1,500.00",90,180,22,42.29549,-71.06981,Boston,02124,MA
1772,,,12.0,7,Entire home/apt,3.0,1.0,3.0,353.0,$95.00,$0.00,91,1125,14,42.34556,-71.08614,Boston,02115,MA
1773,,,12.0,7,Entire home/apt,3.0,1.0,3.0,325.0,$95.00,$100.00,91,1125,14,42.34567,-71.08595,Boston,02115,MA
1774,100%,,3.0,2,Entire home/apt,1.0,1.0,1.0,120.0,$200.00,$500.00,28,365,105,42.3179,-71.10755,Boston,02130,MA
1775,99%,,838.0,4,Entire home/apt,2.0,1.0,2.0,167.0,$110.00,$400.00,2,1125,13,42.345009999999995,-71.06616,Boston,02118,MA
1776,99%,,838.0,4,Entire home/apt,2.0,1.0,2.0,161.0,$110.00,$400.00,2,1125,37,42.34505,-71.06551,Boston,02118,MA
1777,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,147.0,$95.00,$400.00,2,1125,17,42.35176,-71.06513000000001,Boston,02116,MA
1778,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,148.0,$98.00,$400.00,2,1125,18,42.3533,-71.06342,Boston,02116,MA
1779,99%,,838.0,2,Entire home/apt,1.0,1.0,1.0,142.0,$98.00,$400.00,2,1125,5,42.35147,-71.0636,Boston,02116,MA
1780,100%,,19.0,4,Entire home/apt,2.0,2.0,2.0,300.0,,,30,1125,2,42.36427,-71.07026,Boston,02114,MA
1781,,,2.0,1,Private room,1.0,1.0,1.0,25.0,$30.00,$0.00,91,1125,1,42.31749,-71.05662,Boston,02125,MA
1782,100%,,3.0,2,Private room,1.0,1.0,1.0,60.0,$30.00,$0.00,91,150,14,42.29811,-71.06474,Boston,02124,MA
1783,90%,,37.0,4,Entire home/apt,0.0,1.0,1.0,199.0,$100.00,$0.00,91,365,1,42.36677,-71.04002,Boston,02128,MA
1784,90%,,1.0,4,Entire home/apt,2.0,2.0,2.0,95.0,$125.00,$0.00,2,30,82,42.29031,-71.1457,Boston,02132,MA
1785,100%,,2.0,2,Private room,1.0,1.0,1.0,90.0,$50.00,$0.00,91,120,20,42.29835,-71.07919,Boston,02121,MA
1786,90%,,37.0,3,Entire home/apt,1.0,1.0,2.0,239.0,$100.00,$0.00,91,1125,9,42.35309,-71.05383,Boston,02210,MA
1787,100%,,19.0,2,Entire home/apt,1.0,1.0,1.0,250.0,,,30,1125,6,42.363859999999995,-71.0684,Boston,02114,MA
1788,14%,,40.0,5,Entire home/apt,1.0,1.0,2.0,500.0,$0.00,$0.00,91,1125,2,42.35875,-71.05245,Boston,02109,MA
1789,,,1.0,2,Entire home/apt,1.0,1.0,1.0,250.0,,,91,1125,0,42.34989,-71.08402,Boston,02115,MA
1790,100%,,19.0,4,Entire home/apt,2.0,2.0,4.0,280.0,,,30,1125,10,42.36372,-71.06846,Boston,02114,MA
1791,99%,,48.0,4,Entire home/apt,2.0,1.0,2.0,145.0,$70.00,$250.00,2,1124,68,42.349,-71.09209,Boston,02215,MA
1792,100%,,3.0,6,Entire home/apt,3.0,1.0,3.0,140.0,$30.00,$0.00,91,200,8,42.298359999999995,-71.06505,Boston,02124,MA
1793,100%,,25.0,1,Private room,1.0,1.0,1.0,40.0,$50.00,$500.00,30,1125,0,42.28788,-71.06643000000001,Boston,02124,MA
1794,100%,,6.0,16,Entire home/apt,5.0,2.0,11.0,275.0,$115.00,$350.00,2,1125,11,42.30265,-71.06319,Boston,02122,MA
1795,100%,,440.0,5,Entire home/apt,2.0,2.0,3.0,199.0,$100.00,$0.00,29,1125,0,42.33044,-71.11216999999999,Boston,02115,MA
1796,100%,,440.0,7,Entire home/apt,3.0,2.0,4.0,239.0,$100.00,$0.00,91,1125,11,42.33197,-71.11138000000001,Boston,02115,MA
1797,100%,,25.0,3,Entire home/apt,3.0,1.0,3.0,120.0,$200.00,"$1,000.00",30,1125,0,42.2901,-71.06788,Boston,02124,MA
1798,100%,,1.0,6,Entire home/apt,2.0,2.0,3.0,300.0,$70.00,$0.00,2,1125,100,42.29213,-71.15436,Boston,02132,MA
1799,100%,,19.0,2,Entire home/apt,1.0,1.0,1.0,220.0,,,30,1125,2,42.363459999999996,-71.06851,Boston,02114,MA
1800,100%,,25.0,1,Private room,1.0,1.0,1.0,39.0,$50.00,$500.00,30,1125,2,42.28819,-71.068,Boston,02124,MA
1801,100%,,25.0,1,Private room,1.0,1.0,1.0,39.0,$50.00,$500.00,30,1124,0,42.28944,-71.06773000000001,Boston,02124,MA
1802,99%,,678.0,3,Entire home/apt,0.0,1.0,2.0,209.0,$100.00,$0.00,3,1125,0,42.33183,-71.11296999999999,Boston,02115,MA
1803,100%,,440.0,7,Entire home/apt,3.0,2.0,4.0,499.0,$100.00,$0.00,29,1125,6,42.36595,-71.07006,Boston,02114,MA
1804,100%,,6.0,2,Private room,1.0,1.0,1.0,79.0,$15.00,$0.00,1,1125,121,42.31158,-71.05318,Boston,02125,MA
1805,100%,,6.0,2,Private room,1.0,1.0,1.0,79.0,$15.00,,1,1125,153,42.31139,-71.05365,Boston,02125,MA
1806,100%,,6.0,2,Private room,1.0,1.0,1.0,79.0,$15.00,$0.00,1,1125,125,42.30976,-71.05138000000001,Boston,02125,MA
1807,100%,,6.0,2,Private room,1.0,1.0,1.0,79.0,$15.00,$0.00,1,1125,111,42.31031,-71.05304,Boston,02125,MA
1808,,,1.0,3,Entire home/apt,0.0,1.0,1.0,325.0,$25.00,$0.00,91,1125,1,42.34998,-71.07986,Boston,02116,MA
1809,100%,,1.0,2,Private room,1.0,1.0,1.0,56.0,$40.00,$150.00,2,365,92,42.32206,-71.07257,Boston,02119,MA
1810,86%,,3.0,1,Private room,3.0,1.0,1.0,165.0,$0.00,$150.00,91,1125,56,42.345659999999995,-71.06839000000001,Boston,02118,MA
1811,,,1.0,3,Entire home/apt,0.0,1.0,1.0,125.0,$150.00,$200.00,600,1125,0,42.35349,-71.12853,Boston,02134,MA
1812,,,1.0,4,Entire home/apt,2.0,1.0,2.0,330.0,,,91,1125,11,42.33321,-71.02501,Boston,02127,MA
1813,100%,,3.0,2,Private room,1.0,1.0,1.0,75.0,$30.00,$0.00,91,100,12,42.29807,-71.06348,Boston,02124,MA
1814,100%,,8.0,4,Entire home/apt,0.0,1.0,2.0,180.0,$100.00,$500.00,33,1125,12,42.34988,-71.08704,Boston,02115,MA
1815,99%,,1062.0,4,Entire home/apt,2.0,2.0,2.0,400.0,$129.00,$500.00,91,1125,3,42.35475,-71.06052,Boston,02110,MA
1816,99%,,1062.0,4,Entire home/apt,2.0,2.0,2.0,400.0,$129.00,$500.00,91,1125,7,42.35605,-71.05972,Boston,02110,MA
1817,99%,,1062.0,3,Entire home/apt,1.0,1.0,1.0,199.0,$89.00,$500.00,91,1125,1,42.344390000000004,-71.08345,Boston,02115,MA
1818,99%,,1062.0,3,Entire home/apt,1.0,1.0,1.0,199.0,$89.00,$500.00,91,1125,8,42.34659,-71.08519,Boston,02115,MA
1819,100%,,1.0,2,Private room,1.0,1.0,1.0,100.0,$60.00,$0.00,1,50,113,42.333059999999996,-71.02877,Boston,02127,MA
1820,60%,,30.0,4,Entire home/apt,1.0,1.0,2.0,180.0,,,91,1125,86,42.345929999999996,-71.07943,Boston,02116,MA
1821,100%,,3.0,5,Entire home/apt,2.0,1.0,3.0,140.0,$45.00,$0.00,29,60,70,42.32456,-71.09651,Boston,02119,MA
1822,100%,,2.0,4,Entire home/apt,2.0,1.0,2.0,265.0,$70.00,$0.00,1,64,26,42.30584,-71.11605,Boston,02130,MA
1823,100%,,8.0,4,Entire home/apt,1.0,1.0,1.0,180.0,$100.00,$500.00,33,1125,3,42.36476,-71.05599000000001,Boston,02113,MA
1824,99%,,48.0,5,Entire home/apt,3.0,1.0,3.0,115.0,$70.00,$150.00,2,1124,70,42.34811,-71.09968,Boston,02215,MA
1825,100%,,1.0,2,Private room,1.0,1.5,1.0,69.0,$25.00,$0.00,2,27,72,42.28563,-71.12083,Boston,02131,MA
1826,100%,,5.0,6,Entire home/apt,2.0,1.0,2.0,250.0,$129.00,$200.00,1,1125,57,42.330040000000004,-71.08556999999999,Boston,02119,MA
1827,100%,,440.0,3,Entire home/apt,1.0,1.0,2.0,213.0,$100.00,$0.00,29,1125,0,42.34385,-71.10157,Boston,02215,MA
1828,100%,,440.0,3,Entire home/apt,1.0,1.0,2.0,213.0,$100.00,$0.00,29,1125,0,42.34403,-71.10159,Boston,02215,MA
1829,100%,,440.0,3,Entire home/apt,1.0,1.0,2.0,213.0,$100.00,$0.00,29,1125,0,42.343270000000004,-71.10209,Boston,02215,MA
1830,,,1.0,2,Private room,1.0,1.0,1.0,86.0,,,91,140,0,42.34939,-71.06061,Boston,02111,MA
1831,100%,,8.0,2,Entire home/apt,0.0,1.0,1.0,180.0,$100.00,$500.00,33,1125,8,42.36065,-71.06886999999999,Boston,02114,MA
1832,100%,,440.0,5,Entire home/apt,2.0,2.0,3.0,298.0,$100.00,$0.00,29,1125,0,42.3438,-71.10118,Boston,02215,MA
1833,100%,,440.0,5,Entire home/apt,2.0,2.0,3.0,298.0,$100.00,$0.00,91,1125,1,42.34551,-71.09976999999999,Boston,02215,MA
1834,100%,,440.0,5,Entire home/apt,2.0,2.0,3.0,298.0,$100.00,$0.00,29,1125,0,42.34368,-71.10167,Boston,02215,MA
1835,100%,,1.0,3,Entire home/apt,1.0,1.0,1.0,98.0,$90.00,$0.00,1,14,82,42.282920000000004,-71.11693000000001,Boston,02131,MA
1836,100%,,2.0,4,Entire home/apt,2.0,1.0,2.0,85.0,$45.00,$0.00,91,250,78,42.34811,-71.13185,Boston,02134,MA
1837,,,1.0,2,Entire home/apt,1.0,1.0,1.0,100.0,$100.00,"$5,000.00",29,60,1,42.279070000000004,-71.13075,Boston,02131,MA
1838,100%,,440.0,5,Entire home/apt,2.0,2.0,3.0,599.0,$100.00,$0.00,29,1125,2,42.3433,-71.10038,Boston,02215,MA
1839,95%,,3.0,3,Entire home/apt,1.0,1.0,0.0,100.0,$60.00,$300.00,2,1125,53,42.352709999999995,-71.06369000000001,Boston,02116,MA
1840,100%,,2.0,4,Entire home/apt,2.0,1.0,2.0,179.0,$160.00,$0.00,153,365,0,42.33757,-71.14869,Boston,02135,MA
1841,100%,,2.0,4,Entire home/apt,2.0,1.5,3.0,100.0,$70.00,$0.00,91,1125,3,42.2757,-71.08792,Boston,02126,MA
1842,100%,,440.0,5,Entire home/apt,2.0,2.0,3.0,199.0,$100.00,$0.00,29,1125,1,42.33067,-71.11247,Boston,02115,MA
1843,100%,,440.0,5,Entire home/apt,2.0,2.0,3.0,199.0,$100.00,$0.00,29,1125,0,42.33023,-71.11291,Boston,02115,MA
1844,100%,,440.0,5,Entire home/apt,2.0,2.0,3.0,199.0,$100.00,$0.00,29,1125,1,42.33211,-71.11304,Boston,02115,MA
1845,100%,,440.0,7,Entire home/apt,3.0,2.0,4.0,239.0,$100.00,$0.00,91,1125,11,42.33208,-71.11105,Boston,02115,MA
1846,100%,,440.0,7,Entire home/apt,3.0,2.0,4.0,239.0,$100.00,$0.00,29,1125,1,42.33011,-71.11145,Boston,02115,MA
1847,100%,,440.0,7,Entire home/apt,3.0,2.0,4.0,239.0,$100.00,$0.00,91,1125,9,42.33096,-71.11148,Boston,02115,MA
1848,100%,,440.0,2,Entire home/apt,0.0,1.0,2.0,289.0,$100.00,$0.00,91,1125,0,42.332370000000004,-71.11071,Boston,02115,MA
1849,100%,,440.0,2,Entire home/apt,0.0,1.0,2.0,289.0,$100.00,$0.00,91,1125,0,42.33062,-71.11285,Boston,02115,MA
1850,100%,,1.0,16,Entire home/apt,5.0,2.0,8.0,450.0,$200.00,,2,28,69,42.38111,-71.07878000000001,Boston,02129,MA
1851,100%,,6.0,5,Private room,1.0,2.0,2.0,64.0,$40.00,,2,1125,53,42.30275,-71.0632,Boston,02122,MA
1852,99%,,1062.0,4,Entire home/apt,2.0,1.0,2.0,400.0,$129.00,$500.00,91,1125,10,42.35263,-71.06351,Boston,02116,MA
1853,99%,,1062.0,4,Entire home/apt,2.0,1.0,2.0,400.0,$129.00,$500.00,91,1125,7,42.35148,-71.06366,Boston,02116,MA
1854,99%,,1062.0,4,Entire home/apt,2.0,2.0,2.0,400.0,$129.00,$500.00,91,1125,4,42.352759999999996,-71.06312,Boston,02116,MA
1855,99%,,1062.0,4,Entire home/apt,2.0,2.0,2.0,400.0,$129.00,$500.00,91,1125,1,42.35305,-71.06299,Boston,02116,MA
1856,100%,,6.0,2,Private room,1.0,2.0,1.0,50.0,$35.00,$150.00,2,1125,41,42.30239,-71.06365,Boston,02122,MA
1857,100%,,440.0,7,Entire home/apt,3.0,2.0,4.0,599.0,$100.00,,29,1125,5,42.36472,-71.06834,Boston,02114,MA
1858,100%,,440.0,5,Entire home/apt,2.0,2.0,0.0,699.0,$100.00,$0.00,29,1125,0,42.36567,-71.06945,Boston,02114,MA
1859,100%,,19.0,4,Entire home/apt,2.0,2.0,2.0,300.0,,,30,1125,2,42.365429999999996,-71.06882,Boston,02114,MA
1860,100%,,1.0,6,Entire home/apt,3.0,3.0,5.0,240.0,$25.00,$0.00,2,21,124,42.33041,-71.05528000000001,Boston,02127,MA
1861,100%,,6.0,2,Private room,1.0,1.0,1.0,60.0,$20.00,$100.00,1,1125,23,42.275079999999996,-71.07696,Boston,02126,MA
1862,,,1.0,2,Private room,1.0,1.0,1.0,45.0,$10.00,$0.00,91,1125,2,42.34016,-71.15292,Boston,02135,MA
1863,100%,,3.0,7,Entire home/apt,4.0,3.0,3.0,400.0,$125.00,$0.00,2,1125,7,42.29861,-71.10933,Boston,02130,MA
1864,100%,,3.0,6,Entire home/apt,1.0,1.0,5.0,150.0,$100.00,$0.00,2,29,58,42.31387,-71.05543,Boston,02125,MA
1865,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,289.0,$100.00,$0.00,10,1125,0,42.364309999999996,-71.06911,Boston,02114,MA
1866,99%,,678.0,7,Entire home/apt,3.0,2.0,3.0,319.0,$100.00,$0.00,3,1125,2,42.36612,-71.06806,Boston,02114,MA
1867,99%,,678.0,7,Entire home/apt,3.0,2.0,4.0,309.0,$100.00,$0.00,3,1125,3,42.364509999999996,-71.06851999999999,Boston,02114,MA
1868,86%,,492.0,7,Entire home/apt,3.0,2.0,4.0,349.0,$150.00,$0.00,9,1125,2,42.36612,-71.0682,Boston,02114,MA
1869,88%,,114.0,5,Entire home/apt,2.0,2.0,2.0,299.0,$100.00,$0.00,3,1125,0,42.36555,-71.06995,Boston,02114,MA
1870,100%,,4.0,3,Private room,1.0,1.0,2.0,80.0,$30.00,$100.00,2,60,39,42.332,-71.10239,Boston,02120,MA
1871,100%,,2.0,1,Shared room,1.0,1.0,1.0,50.0,$30.00,$100.00,3,1125,11,42.27527,-71.16835999999999,Boston,02132,MA
1872,100%,,4.0,4,Private room,1.0,1.0,1.0,90.0,$30.00,$100.00,2,15,9,42.3323,-71.10173,Boston,02120,MA
1873,100%,,4.0,5,Private room,1.0,1.0,3.0,130.0,$30.00,$100.00,2,15,17,42.331559999999996,-71.10059,Boston,02120,MA
1874,90%,,2.0,3,Private room,1.0,1.0,1.0,86.0,$25.00,$0.00,1,1125,42,42.33347,-71.10119,Boston,02120,MA
1875,90%,,2.0,1,Private room,0.0,1.0,1.0,67.0,$25.00,$0.00,1,1125,54,42.33423,-71.10122,Boston,02120,MA
1876,,,2.0,2,Entire home/apt,1.0,1.0,1.0,111.0,$55.00,$150.00,91,1125,1,42.34684,-71.13473,Boston,02134,MA
1877,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1124,37,42.344879999999996,-71.07579,Boston,02116,MA
1878,100%,,8.0,4,Private room,1.0,1.5,2.0,45.0,$20.00,,28,1125,14,42.29185,-71.06633000000001,Boston,02124,MA
1879,100%,,8.0,4,Entire home/apt,2.0,1.0,3.0,68.0,,,91,1125,0,42.23722,-71.13291,Boston,02136,MA
1880,100%,,6.0,2,Entire home/apt,1.0,1.0,2.0,120.0,$20.00,$0.00,91,1125,77,42.31491,-71.06243,Boston,02125,MA
1881,100%,,5.0,1,Private room,1.0,1.0,1.0,50.0,,,91,1125,5,42.356,-71.15674,Boston,02135,MA
1882,100%,,5.0,6,Entire home/apt,2.0,1.0,2.0,170.0,$129.00,$200.00,1,1125,46,42.38066,-71.03196,Boston,02128,MA
1883,94%,,25.0,6,Entire home/apt,2.0,1.5,2.0,175.0,$150.00,$100.00,32,90,38,42.32972,-71.10843,Boston,02120,MA
1884,100%,,1.0,6,Entire home/apt,3.0,2.0,3.0,100.0,$120.00,"$1,200.00",2,1125,19,42.27241,-71.07335,Boston,02126,MA
1885,100%,,2.0,1,Private room,1.0,2.0,1.0,75.0,,,1,14,127,42.314440000000005,-71.10122,Boston,02119,MA
1886,100%,,19.0,4,Entire home/apt,2.0,2.0,3.0,280.0,,,30,1125,6,42.36418,-71.06952,Boston,02114,MA
1887,,,1.0,4,Entire home/apt,2.0,2.0,3.0,250.0,$150.00,"$1,000.00",91,1125,13,42.36639,-71.06235,Boston,02114,MA
1888,90%,,1.0,4,Private room,2.0,1.0,1.0,125.0,$0.00,$0.00,1,14,52,42.30845,-71.05065,Boston,02125,MA
