,host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
2965,100%,,9.0,4,Entire home/apt,1.0,1.0,2.0,150.0,$65.00,$200.00,2,1125,8,42.34349,-71.07184000000001,Boston,02118,MA
2966,90%,,2.0,4,Entire home/apt,2.0,1.0,2.0,299.0,$150.00,$0.00,91,1125,2,42.35028,-71.04586,Boston,02210,MA
2967,,,1.0,6,Entire home/apt,2.0,1.5,3.0,200.0,,,91,1125,3,42.33755,-71.07566,Boston,02118,MA
2968,96%,,0.0,4,Entire home/apt,1.0,1.0,1.0,204.0,$85.00,$200.00,2,45,24,42.35853,-71.05526,Boston,02109,MA
2969,100%,,7.0,3,Private room,1.0,1.5,2.0,87.0,,,91,1125,0,42.33587,-71.08440999999999,Boston,02120,MA
2970,97%,,1068.0,2,Entire home/apt,1.0,1.0,1.0,158.0,$150.00,,92,1125,0,42.3425,-71.0967,Boston,MA 02215,MA
2971,100%,,15.0,5,Private room,1.0,2.0,3.0,160.0,$50.00,,1,1125,3,42.32546,-71.10386,Boston,02130,MA
2972,80%,,6.0,3,Entire home/apt,1.0,1.0,1.0,280.0,,,91,1125,0,42.35376,-71.0769,Boston,02116,MA
2973,100%,,5.0,2,Private room,1.0,1.0,1.0,95.0,$45.00,$150.00,1,14,11,42.30885,-71.07263,Boston,02125,MA
2974,100%,,5.0,2,Private room,1.0,1.0,1.0,80.0,$45.00,$150.00,1,14,8,42.30883,-71.07179000000001,Boston,02125,MA
2975,100%,,5.0,2,Private room,1.0,1.0,1.0,77.0,$45.00,$150.00,1,14,9,42.308890000000005,-71.07271,Boston,02125,MA
2976,,,2.0,2,Private room,1.0,2.0,1.0,79.0,,,91,1125,2,42.35538,-71.16359,Boston,02135,MA
2977,100%,,0.0,4,Entire home/apt,2.0,1.0,3.0,179.0,$30.00,$0.00,2,15,28,42.36562,-71.03577,Boston,02128,MA
2978,96%,,0.0,4,Entire home/apt,1.0,1.0,1.0,157.0,$85.00,$200.00,1,45,28,42.357,-71.05494,Boston,02109,MA
2979,96%,,0.0,4,Entire home/apt,1.0,1.0,1.0,239.0,$88.00,$200.00,2,45,22,42.358779999999996,-71.05357,Boston,02109,MA
2980,100%,,5.0,8,Entire home/apt,4.0,1.0,4.0,295.0,$125.00,$200.00,1,7,1,42.3095,-71.07146999999999,Boston,02125,MA
2981,97%,,1068.0,2,Entire home/apt,1.0,1.0,1.0,210.0,$150.00,,92,1125,0,42.36016,-71.06406,Boston,02114,MA
2982,96%,,0.0,4,Entire home/apt,2.0,1.5,2.0,331.0,$95.00,$300.00,2,45,23,42.35771,-71.05511,Boston,02109,MA
2983,96%,,0.0,6,Entire home/apt,2.0,2.0,2.0,333.0,$95.00,$400.00,2,60,32,42.35836,-71.05360999999999,Boston,02109,MA
2984,96%,,0.0,6,Entire home/apt,2.0,2.0,2.0,303.0,$95.00,$400.00,2,60,25,42.3589,-71.0554,Boston,02109,MA
2985,96%,,0.0,4,Entire home/apt,1.0,1.0,1.0,177.0,$85.00,$200.00,1,120,27,42.358540000000005,-71.05445999999999,Boston,02109,MA
2986,96%,,0.0,6,Entire home/apt,2.0,2.0,3.0,312.0,$95.00,$400.00,2,45,30,42.358290000000004,-71.05389,Boston,02109,MA
2987,96%,,0.0,6,Entire home/apt,2.0,2.0,2.0,312.0,$85.00,$400.00,2,45,25,42.358470000000004,-71.05469000000001,Boston,02109,MA
2988,96%,,0.0,12,Entire home/apt,4.0,3.5,4.0,987.0,$200.00,$500.00,2,1125,26,42.34917,-71.09474,Boston,02215,MA
2989,96%,,0.0,6,Entire home/apt,2.0,2.0,2.0,403.0,$95.00,$400.00,2,120,28,42.36468,-71.05185999999999,Boston,02113,MA
2990,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,193.0,$60.00,$0.00,2,28,2,42.36475,-71.06238,Boston,02114,MA
2991,96%,,0.0,4,Entire home/apt,1.0,1.0,1.0,224.0,$85.00,$200.00,1,1125,28,42.358670000000004,-71.05541,Boston,02109,MA
2992,96%,,0.0,4,Entire home/apt,1.0,1.0,1.0,229.0,$85.00,$200.00,1,120,22,42.34935,-71.09388,Boston,02215,MA
2993,100%,,0.0,4,Entire home/apt,2.0,1.0,2.0,269.0,$100.00,$350.00,1,1125,14,42.3532,-71.12753000000001,Boston,02134,MA
2994,100%,,7.0,1,Private room,1.0,1.5,1.0,104.0,,,91,1125,1,42.33534,-71.08435,Boston,02120,MA
2995,100%,,7.0,2,Private room,1.0,1.5,1.0,104.0,,,91,1125,0,42.33728,-71.08461,Boston,02120,MA
2996,100%,,7.0,2,Private room,1.0,1.5,2.0,104.0,,,91,1125,0,42.33681,-71.08404,Boston,02120,MA
2997,98%,,3.0,4,Entire home/apt,1.0,1.0,2.0,199.0,$69.00,$299.00,2,1125,23,42.35205,-71.0595,Boston,02111,MA
2998,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,105.0,$10.00,$0.00,1,1125,29,42.31627,-71.06812,Boston,02125,MA
2999,90%,,2.0,8,Entire home/apt,2.0,1.0,4.0,165.0,$50.00,$0.00,2,30,16,42.30554,-71.11759,Boston,02130,MA
3000,100%,,0.0,2,Private room,1.0,1.0,3.0,149.0,$59.00,$0.00,1,365,7,42.35223,-71.06446,Boston,02116,MA
3001,99%,,678.0,5,Entire home/apt,2.0,2.0,2.0,259.0,$100.00,$0.00,15,1125,0,42.3321,-71.11267,Boston,02115,MA
3002,100%,,1.0,2,Private room,1.0,1.0,1.0,60.0,$30.00,$0.00,1,60,11,42.315020000000004,-71.05322,Boston,02125,MA
3003,97%,,1068.0,2,Entire home/apt,1.0,1.0,1.0,202.0,$150.00,,92,1125,0,42.342009999999995,-71.04936,Boston,MA 02127,MA
3004,100%,,2.0,5,Entire home/apt,2.0,1.0,2.0,120.0,,,91,1125,0,42.2783,-71.13935,Boston,02131,MA
3005,100%,,1.0,6,Entire home/apt,2.0,1.0,3.0,225.0,$150.00,$200.00,2,365,18,42.34146,-71.09456,Boston,02215,MA
3006,100%,,0.0,2,Private room,1.0,1.0,3.0,149.0,$79.00,$0.00,1,365,4,42.35194,-71.07558,Boston,02116,MA
3007,100%,,0.0,6,Entire home/apt,2.0,1.0,5.0,399.0,$89.00,$0.00,2,30,0,42.35239,-71.07543000000001,Boston,02116,MA
3008,100%,,29.0,2,Entire home/apt,1.0,1.0,1.0,154.0,$95.00,$400.00,2,1125,2,42.35931,-71.06447,Boston,02114,MA
3009,100%,,29.0,2,Entire home/apt,1.0,1.0,1.0,147.0,$95.00,$400.00,2,1125,6,42.35951,-71.06504,Boston,02114,MA
3010,96%,,0.0,6,Entire home/apt,2.0,2.0,2.0,289.0,$90.00,$400.00,2,120,29,42.3528,-71.08184,Boston,02116,MA
3011,,,0.0,6,Entire home/apt,2.0,1.0,3.0,600.0,$150.00,$200.00,2,1125,4,42.34752,-71.06109000000001,Boston,02111,MA
3012,100%,,9.0,2,Private room,1.0,2.0,1.0,61.0,$35.00,,2,30,6,42.350770000000004,-71.13765,Boston,02134,MA
3013,100%,,10.0,4,Private room,1.0,2.0,2.0,90.0,$45.00,,2,1125,7,42.30044,-71.06159,Boston,02122,MA
3014,,,1.0,3,Entire home/apt,1.0,1.0,2.0,145.0,$35.00,$0.00,1,1125,4,42.32816,-71.05803,Boston,02127,MA
3015,98%,,3.0,5,Entire home/apt,2.0,1.0,3.0,287.0,$89.00,$299.00,2,1125,20,42.35123,-71.06134,Boston,02111,MA
3016,100%,,10.0,2,Private room,1.0,2.0,1.0,75.0,$40.00,,2,20,9,42.29858,-71.06246,Boston,02122,MA
3017,100%,,0.0,6,Entire home/apt,2.0,1.5,2.0,300.0,$120.00,$200.00,3,1125,13,42.35376,-71.07449,Boston,02116,MA
3018,99%,,1062.0,3,Entire home/apt,1.0,1.0,1.0,400.0,$89.00,$500.00,91,1125,0,42.34661,-71.07987,Boston,02116,MA
3019,99%,,1062.0,4,Entire home/apt,2.0,1.0,2.0,400.0,$129.00,$500.00,91,1125,0,42.3462,-71.07882,Boston,02116,MA
3020,90%,,0.0,5,Entire home/apt,3.0,1.0,3.0,125.0,$60.00,$0.00,91,1125,13,42.25399,-71.12673000000001,Boston,02136,MA
3021,100%,,29.0,2,Entire home/apt,1.0,1.0,1.0,149.0,$95.00,$400.00,2,1125,1,42.36007,-71.06521,Boston,02114,MA
3022,100%,,29.0,2,Entire home/apt,0.0,1.0,1.0,134.0,$95.00,$400.00,2,1125,0,42.35999,-71.06323,Boston,02114,MA
3023,99%,,678.0,5,Entire home/apt,2.0,1.0,2.0,245.0,$100.00,$0.00,91,1125,1,42.33231,-71.11093000000001,Boston,02115,MA
3024,,,0.0,2,Entire home/apt,1.0,1.0,1.0,120.0,$15.00,$0.00,91,1125,5,42.3429,-71.08237,Boston,02115,MA
3025,97%,,1068.0,2,Entire home/apt,1.0,1.0,1.0,98.0,$150.00,,92,1125,0,42.36414,-71.06922,Boston,MA 02114,MA
3026,97%,,1068.0,4,Entire home/apt,2.0,2.0,2.0,131.0,$175.00,,92,1125,0,42.35798,-71.05343,Boston,MA 02109,MA
3027,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,195.0,$85.00,$300.00,2,120,8,42.36577,-71.0545,Boston,02113,MA
3028,100%,,3.0,3,Private room,1.0,1.0,2.0,150.0,$0.00,$0.00,2,14,6,42.33556,-71.04459,Boston,02127,MA
3029,100%,,0.0,10,Entire home/apt,3.0,1.0,4.0,399.0,$85.00,$300.00,3,1125,14,42.333999999999996,-71.10345,Boston,02120,MA
3030,97%,,307.0,5,Entire home/apt,2.0,1.0,2.0,999.0,$105.00,$250.00,7,365,2,42.35366,-71.07743,Boston,02116,MA
3031,100%,,1.0,4,Entire home/apt,1.0,1.0,2.0,129.0,$40.00,$100.00,1,21,14,42.31544,-71.05725,Boston,02125,MA
3032,97%,,307.0,5,Entire home/apt,2.0,1.0,0.0,999.0,$105.00,$250.00,7,365,4,42.35412,-71.07567,Boston,02116,MA
3033,100%,,9.0,2,Private room,1.0,2.0,1.0,61.0,$35.00,$0.00,2,30,7,42.348729999999996,-71.13752,Allston,02134,MA
3034,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,100.0,$80.00,$0.00,2,30,4,42.32114,-71.05112,Boston,02125,MA
3035,100%,,1.0,2,Private room,1.0,1.0,2.0,155.0,$120.00,$155.00,1,1125,13,42.33981,-71.07259,Boston,02118,MA
3036,100%,,0.0,1,Private room,1.0,2.0,1.0,65.0,$50.00,$0.00,28,1125,1,42.32212,-71.08738000000001,Boston,02119,MA
3037,100%,,5.0,8,Entire home/apt,5.0,2.0,5.0,300.0,$200.00,$0.00,3,60,0,42.32178,-71.06026999999999,Boston,02125,MA
